,Date,Symbol
838,2015-07-01,ONGC
839,2015-07-01,PAGEIND
840,2015-07-01,PETRONET
841,2015-07-01,PFC
842,2015-07-01,PIDILITIND
843,2015-07-01,PNB
844,2015-07-01,POWERGRID
845,2015-07-01,NMDC
846,2015-07-01,M_MFIN
847,2015-07-01,HINDPETRO
848,2015-07-01,HINDUNILVR
849,2015-07-01,ICICIBANK
850,2015-07-01,IDEA
851,2015-07-01,IGL
852,2015-07-01,INDUSINDBK
853,2015-07-01,INFY
854,2015-07-01,IOC
855,2015-07-01,ITC
856,2015-07-01,JINDALSTEL
857,2015-07-01,JSWSTEEL
858,2015-07-01,JUBLFOOD
859,2015-07-01,KOTAKBANK
860,2015-07-01,LICHSGFIN
861,2015-07-01,LT
862,2015-07-01,LUPIN
863,2015-07-01,M_M
864,2016-01-01,UCOBANK
865,2016-01-01,IOB
866,2016-01-01,UNITECH
867,2016-01-01,MCLEODRUSS
868,2016-01-01,CROMPGREAV
869,2016-01-01,CAIRN
870,2016-01-01,ABIRLANUVO
871,2016-01-01,IBREALEST
872,2016-01-01,JSWENERGY
873,2016-01-01,HDIL
874,2016-01-01,ANDHRABANK
875,2016-01-01,PTC
876,2016-01-01,RCOM
